Atlantic Reporter	A.
Revue scientifique de l’AIFI (Association internationale francophone des intervenants auprès des familles séparées)	Revue scientifique de l’AIFI
Revue Femmes et Droit	R.F.D.
Revue française de droit aérien	R.F.D.A.
Reports of Family Law	R.F.L.
Revue fiscale notariale	RFN
Revue générale de l’air et de l’espace	R.G.A.
Revue générale des assurances terrestres	R.G.A.T.
Revue générale de droit	R.G.D.
Revue générale du droit des assurances	R.G.D.A.
Revue générale de droit international public	R.G.D.I.P.
Recueil général des traités de la France	R.G.T.F.
Revue historique du droit français et étranger	R.H.D.
Revue hellénique de droit international	R.H.D.I.
Relations industrielles	R.I.
Reports of International Arbitral Awards	R.I.A.A.
Review of International Business Law	R.I.B.L.
Revue internationale des droits de l’Antiquité	R.I.D.A
Revue internationale du droit d’auteur	R.I.D.A.
Revue internationale de droit comparé	R.I.D.C.
Revue internationale de droit comparé	R.I.D.Comp.
Revue internationale de droit économique	R.I.D.E.
Revue internationale de droit pénal	R.I.D.P
Recueil international de législation sanitaire	R.I.L.S.
Revue de jurisprudence	R.J.
Recueil de jurisprudence administrative	R.J.A.
Recueil de jurisprudence en droit du travail	R.J.D.T.
Revue juridique des étudiants de l'Université Laval	R.J.E.L.
Revue juridique des étudiants de l'Université Laval	R.J.E.U.L.
Revue juridique "La femme et le droit"	R.j.f.d.
Résumés de jurisprudence pénale du Québec	R.J.P.Q.
Recueils de jurisprudence du Québec	R.J.Q.
Rapports judiciaires révisés de la Province de Québec	R.J.R.Q.
Recueil de jurisprudence. Santé et services sociaux	R.J.S.S.
Revue juridique Thémis	R.J.T.
Revue juridique Thémis de l'Université de Montréal	RJTUM
Revue juridique et politique, indépendance et coopération	R.Jur.Pol.Ind.Co.
Revue légale	R.L.
Références législatives canadiennes - Canadian Statutes Citations	R.L.C.
Revue légale - Nouvelle série	R.L.N.S.
Revue nationale de droit constitutionnel	R.N.D.C.
Revue nationale de droit constitutionnel	R.n.droit const.
Rapports de pratique du Québec	R.P.
Restrictive Practice Cases	R.P.
Reports of Patent Cases	R.P.C.
Revue de planification fiscale et successorale	R.P.F.S.
Rapports de pratique du Québec	R.P.Q.
Real Property Reports	R.P.R.
Revue de prévention et de règlement des différends	R.P.R.D.
Recueil en matière de protection du territoire agricole	R.P.T.A.
Revue québécoise de droit international	R.Q.D.I.
The Revised Reports	R.R.
Recueil en responsabilité et assurance	R.R.A.
Revue de la recherche juridique	R.R.J.
Revised Regulations of Ontario	R.R.O.
Règlements refondus du Québec	R.R.Q.
Règlements refondus de la Ville de Montréal	R.R.V.M.
Recueil des sentences arbitrales	R.S.A.
Revised Statutes of Alberta	R.S.A.
Revised Statutes of British Columbia	R.S.B.C.
Revised Statutes of Canada	R.S.C.
Revue suisse de droit international et européen	RSDIE
Recueil des sentences de l'Éducation	R.S.E.
Revised Statutes of Manitoba	R.S.M.
Revised Statutes of Newfoundland	R.S.N.
Revised Statutes of New Brunswick	R.S.N.B.
Revised Statutes of Newfoundland	R.S.Nfld.
Revised Statutes of Nova Scotia	R.S.N.S.
Revised Statutes of Ontario	R.S.O.
Recueil des ordonnances de la Régie des services publics	R.S.P.
Revised Statutes of Prince Edward Island	R.S.P.E.I.
Revised Statutes of Quebec (feuille mobile)	R.S.Q.
Revised Statutes of Quebec (relié)	R.S.Q.,1977
Revised Statutes of Saskatchewan	R.S.S.
Revised Statutes of Yukon Territory	R.S.Y.T.
Recueil des traités du Canada	R.T.C.A.
Recueil des traités du Canada	R.T.Can.
Revue trimestrielle de droit civil	RTDC
Revue trimestrielle de droit civil	RTD Civ.
Revue trimestrielle de droit commercial	RTD Com.
Revue trimestrielle de droit européen	RTDE
Revue trimestrielle de droit européen	RTD eur.
Revue trimestrielle de droit familial	R.T.D.F.
Revue trimestrielle des droits de l'homme	RTDH
Recueil des traités des Nations Unies	R.T.N.U.
Recueil des traités de la Société des Nations	R.T.S.N.
Recueil des traités de la Société des Nations	RTSDN
Revue universelle des droits de l'homme	R.U.D.H.
Rutgers Computer and Technology Law Journal	Rutgers Computer & Tech. L.J.
Rutgers Law Review	Rutgers L. Rev.
Statutes of Alberta	S.A.
Recueils des sentences de l'éducation	S.A.E.
Sentences arbitrales de la fonction publique	S.A.F.P.
Sentences arbitrales; griefs	S.A.G.
South African Law Journal	S.A.L.J.
San Diego Law Review	San Diego L. Rev.
Saskatchewan Bar Review	Sask. Bar Rev.
Saskatchewan Law Reports	Sask. L.R.
Saskatchewan Law Review	Sask.L.Rev.
Saskatchewan Reports	Sask. R.
Statutes of British Columbia	S.B.C.
Saskatchewan Bar Review	S.B.R.
Statuts du Canada	S.C.
Southern California Law Review	S. Cal. L. Rev.
Supreme Court of Canada Reports Service	S.C.C.R.S.
Supreme Court of Canada Judgments	S.C.J.
The Supreme Court Law Review	S.C.L.R.
Supreme Court Reports	S.C.R.
Securities and Corporate Regulation Review	S.C.R.R.
Supreme Court Reporter	S.Ct.
Scotch and Divorce Appeals	S.D.
South Eastern Reporter	S.E.
Recueil des sentences de l'éducation	S.E.
[Sentences arbitrales] Association des hôpitaux du Québec	SENTAR
Statutory Instruments	S.I.
Solicitors' Journal	S.J.
La Semaine Juridique	S.J.
Saskatchewan Judgments	S.J.
La Semaine Juridique. Éd. entreprise	S.J.éd.E.
La Semaine Juridique. Éd. générale	S.J.éd.G.
La Semaine Juridique. Éd. notariale	S.J.éd.N.
Stanford Law Review	S.L.R.
Statutes of Manitoba	S.M.
Statutes of Newfoundland	S.N.
Statutes of Newfoundland	S.Nfld.
Statutes of Nova Scotia	S.N.S.
Statutes of the Northwest Territories	S.N.W.T.
Southern Reporter	So.
South African Law Journal	So. African L.J.
South African Journal on Human Rights	So. Afr. J. Hum. Rts.
Solicitors' Journal	Solicitor's J.
Solicitors' Journal	Sol.Jo.
Statutory Instruments (refontes 1949, 1955)	S.O.R.
Special Lectures of the Law Society of Upper Canada	Spec.Lect.L.S U.C.
Statutes of Prince Edward Island	S.P.E.I.
Statuts du Québec (avant 1969)	S.Q.
Statuts refondus pour le Bas-Canada	S.R.B.C.
Statuts révisés du Canada	S.R.C.
Statuts refondus du Québec	S.R.Q.
Statutes of Saskatchewan	S.S.
Stanford Law Review	Stanford L. Rev.
Stanford Law Review	Stan. L. Rev.
Statutes at Large	Stat.
Stanford Law Review	Stat.L.R.
Statute Law Review	Statute Law Rev
Série des traités européens	S.T.E.
St. John’s Law Review	St. John’s L. Rev.
Saint Louis University Law Journal	St. Louis U.L.J.
Supreme Court Law Review	Sup. Ct. L. R.
Supreme Court Review	Sup. Ct. Rev.
Supreme Court Law Review	Supreme Court L.R.
South Western Reporter	S.W.
Southwestern Law Journal	Sw. L.J.
Syracuse Journal of International Law and Commerce	Syracuse J.I.L.Com.
Syracuse Journal of International Law and Commerce	Syracuse J.Int'l.L. & Com.
Syracuse Law Review	Syracuse L. Rev.
Statutes of the Yukon Territory	S.Y.T.
Décisions du Tribunal d'arbitrage	T.A.
Décisions du Tribunal administratif du Québec	T.A.Q.
Tribunal administratif du Québec express	T.A.Q.E.
Tasmanian State Reports	Tas.S.R.
Canada Tax Appeal Board Cases	Tax A.B.C.
Tax Court Memorandum Decisions	Tax Ct. Mem. Dec.
Taxes : the Tax Magazine	Taxes
Tax Lawyer	Tax Law.
Tax Law Review	Tax L. Rev.
Tariff Board Reports	T.B.R.
Tax Cases	T.C.
Canadian Trade and Commodity Tax Cases	T.C.T.
Recueils de jurisprudence, Tribunal de l'expropriation	T.E.
Temple Law Quarterly	Temp. L.Q.
Temple Law Review	Temp. L. Rev.
Territories Law Reports	Terr.L.R.
Texas International Law Journal	Texas I.L.J.
Texas International Law Forum	Tex.Int'l L.F.
Texas International Law Journal	Tex.Int'l L.J.
Texas Law Review	Tex. L.R.
Thémis	Th.
Recueils de jurisprudence, Tribunal de la jeunesse	T.J.
Times Law Reports	T.L.R.
Tulane Law Review	T.L.R.
Tort & Insurance Law Journal	Tort & Ins. L.J.
Travail et protection sociale	TPS
Transportation Law Journal	Transp. L.J.
Travaux du comité français de droit international privé	Trav.Comité fr.D.I.P.
Treaty series : United Nations	Treaty Ser. U.N.
Jurisprudence en droit du travail, tribunal du travail	T.T.
Trade and Tariff Reports	T.T.R.
Tulane Law Review	Tul. L. Rev.
University of British Columbia Legal Notes	U.B.C. L. N.
University of British Columbia Law Review	U.B.C.L.R.
University of British Columbia Law Review	U.B.C. L. Rev.
Upper Canada Law Journal	U. Can. L.J.
University of Chicago Law Review	U. Chi. L. Rev.
Upper Canada Jurist	U.C. Jurist
UCLA Law Review	U.C.L.A.L.Rev.
The Upper Canada Law Journal	U.C.L.J.
University of Chicago Law Review	U.C.L.R.
University of Detroit Law Journal	U. Det. L. J.
University of Detroit Law Review	U. Det. L. Rev.
University of Detroit Mercy Law Review	U. Det. Mercy L. Rev.
University of Illinois Law Review	U. Ill. L. Rev.
United Kingdom Treaty Series	UKTS
Uniform Laws Annotated	U.L.A.
Uniform Law Review	U.L.R.
University of Miami entertainment & sports law review	U. Miami Ent. & Sports L. Rev.
University of Miami Inter-American Law Review	U. Miami Inter-Am. L. Rev.
University of Miami Law Review	U. Miami L. Rev.
University of New Brunswick Law Journal	U.N.B. L.J.
United Nations Conference on International Organization	U.N.C.I.O.
Uniform Law Conference Proceedings	Unif. L.Conf.
Uniform Law Review	Unif. L. Rev
Proceedings of the Annual Meeting of the Uniform Law Conference	Unit. L. Conf.
United Nations Law Reports	U.N.L.R.
University of New South Wales Law Journal	U.N.S.W. L.J.
Treaty series : United Nations	U.N.T.S.
University of Ottawa Law & Technology Journal	UOLTJ
University of Ottawa Law & Technology Journal	U. Ottawa L. & Tech. J.
University of Pennsylvania Law Review	U.Pa.L.Rev.
University of Pittsburgh Law Review	U. Pitt. L. Rev.
Urban Law Annual	Urban L. An.
United States Supreme Court Reports	U.S.
United States Aviation Reports	U.S.AvR
United States Code	U.S.C.
United States Code Annotated	U.S.C.A.
United States Code	U.S. Code
United States Supreme Court Reports, Lawyers edition	U.S.L.Ed
United States Reports	U.S. Reports
United States Treaties	UST
United States Treaties and Other International Agreements	USTA
U.S. Tax Cases	U.S. Tax Cas.
United States Treaties and Other International Agreements	U.S.T.I.T.
University of Tasmania Law Review	U. Tas. L. Rev.
University of Toronto Faculty of Law Review	U.T.Fac.L.Rev.
University of Toronto Law Journal	U.T.L.J.
University of Toronto Faculty of Law Review	U. Toronto Faculty L. Rev.
University of Toronto Law Journal	U. Toronto L.J.
University of Western Ontario Law Review	U.W.O.L.R.
University of Western Ontario Law Review	U.W.O.L.Rev.
Virginia Journal of International Law	Va.J.Int'l L.
Virginia Law Review	Va. L. Rev.
Vanderbilt Law Review	Vand. L. Rev.
Villanova Law Review	Vill. L. Rev.
Vermont Statutes Annotated	V.S.A.
Washington and Lee Law Review	Wash. & Lee L. Rev.
Washington Law Review	Wash. L. Rev.
Washington University Law Quarterly	Wash. U. L.Q.
Workers’ Compensation Appeals Tribunal	W.C.A.T.
Weekly Criminal Bulletin	W.C.B.
Western Law Review	Western L. Rev.
Western Ontario Law Review	Western Ont. L. Rev.
Workplace Hazardous Materials Information System	W.H.M.I.S.
Windsor Yearbook of Access to Justice	Windsor Y.B.Access Just.
Windsor Yearbook of Access to Justice	Windsor Yearb. Access
West Indian Reports	W.I.R.
Wisconsin Law Review	Wis. L. Rev.
Western Law Reporter	W.L.R.
Western Law Review	W.L.R.
Weekly Law Reports	W.L.R.
Western Ontario Law Review	W. L. Rev.
Western Ontario Law Review	W.O.L.R.
Windsor Review of Legal and Social Issues	W.R.L.S.I.
Western Weekly Digests	W.W.D.
Western Weekly Reports	W.W.R.
Yale Law Journal	Yale L.J.
Yale Review of Law and Social Action	Yale Rev. L. & Soc. Action
Yale Review of Law and Social Action	Yale Rev. Law & Soc. Act'n
Yearbook Commercial Arbitration	Y.B. Com. Arb.
Yearbook of the European Convention on Human Rights	Y.B. Eur. Conv. H.R.
Yearbook of the European Convention on Human Rights	Y.E.C.H.R.
Yukon Judgments	Y.J.
Yale Law Journal	Y.L.J.
